No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
1470,B+,B,A+,A+,A+,B,A,A+,A+,A,O,A+,C,C,C,B+,O,B+,A+,A+,A,A+,O,A,B+,B+,A,A,C,B+,C,C,C,C,A+,A+,B+,C,A,A+,B+,C,C,B,A,C,C,B,A+,C,B,C,C,A+,B+,B,A,B+,B,B,7.053125
1471,A+,A,A,O,C,A,A+,A+,B,O,A+,B+,B+,B,A,O,A,A,B+,O,O,B+,A+,C,A+,B,B,C,A,B+,O,C,B+,B+,O,O,B+,B+,C,C,B+,B+,O,C,A+,A,A+,C,B+,B+,B+,A+,A+,A+,A,C,A,O,C,O,7.621875
1472,C,B+,A+,C,B,C,A+,C,B+,C,O,A,O,O,B+,B+,B+,B,O,A,C,O,B+,B,C,B,C,C,A,C,A+,A+,O,B+,B+,A,B,O,A,O,A+,O,A,B+,A+,B+,A+,A+,B+,B+,B,A+,B+,B+,B+,B,C,C,A,A+,7.425
1473,C,B+,O,B,C,C,A,O,A,A+,A,A+,O,B,B+,C,A+,B,A,B,B+,A+,A+,O,C,C,O,A,A+,A,A,B+,O,A,A,A+,B+,C,A,A,O,A+,A+,O,C,A+,A+,O,C,C,C,C,A,A+,B+,A,A+,A,A+,A+,7.71875
1474,B,A,B+,B+,B+,B,C,A,O,O,A+,O,A+,O,B+,A,A+,A+,A,O,O,B+,O,B,O,C,B+,B,A+,A,B,O,O,O,B,B,B,A,B+,B,O,B,C,A,C,C,A+,B,A,C,B+,B,C,B+,C,A,A,C,O,O,7.596875
1475,B,O,B+,B+,A,A,B+,A,A,A+,C,B+,A,A+,A,C,A,B+,B+,B+,O,A,B+,C,A,O,B,B,B+,A,A+,B,B+,B+,B+,C,C,A+,O,A,C,C,B+,A,C,B,A+,C,B+,A+,O,B,O,C,O,B+,B,A,O,A,7.409375
1476,B+,A+,B+,C,O,A,C,A+,A+,B+,A+,O,B,C,B+,A+,A+,A,A,A,O,C,B+,B+,B,B,C,A+,B,O,A+,C,A,B+,B,C,B,B,A+,B+,A,A,C,C,B+,B,A,B+,C,B,A+,A+,A,B,C,C,O,A,A+,B,7.240625
1477,A,B,A,C,O,A+,C,O,A+,O,O,A+,A,A,B,B,O,B+,A,C,A+,B,C,B,A,A+,B+,B,C,B+,B+,C,A+,A+,B,A,B+,B+,A+,A+,A,C,A+,A+,A,A+,B+,B,O,O,B+,A+,A,B,B+,O,B,A+,B+,B,7.753125
1478,A+,C,A+,C,O,C,A+,C,A+,B+,B,C,B,C,C,A,C,B,B,B+,A,A,O,B+,A+,B+,B+,A+,C,O,A+,A+,A,O,C,O,B+,B,B+,A,B,B,A,O,A,C,B,C,C,B,B+,A+,B,A,A+,A+,A+,B+,C,B,7.090625
1479,B,B,B,A,B,A,A,B+,A+,O,O,B+,O,B+,B+,C,B+,C,C,C,A+,O,B,B+,B+,A,C,O,C,C,O,O,A,B+,O,B+,B,B,B+,B+,O,B+,O,C,O,A,A,A+,O,A,O,O,A,O,B+,O,A,A+,A,A,7.771875
1480,C,B,B,C,A,B+,B,B+,B+,A,O,B,B+,A+,C,B+,B+,C,B+,C,C,A+,O,O,O,A+,B+,B+,A,O,O,A+,B,B,A,A+,A,B+,A+,A+,O,O,O,A,C,A+,C,A,A+,C,B,B,C,A+,C,B,A,B+,B,B+,7.34375
1481,A+,B,A,B+,A+,B,O,A+,B,C,A,A+,A,B,A+,O,B,C,B,B+,B+,A+,B+,C,A,C,B,A+,B,B,B+,A+,C,A,C,C,A,A,O,B,C,O,A,O,A,C,B+,C,B,O,C,B+,A+,O,B+,B+,B+,A,B,A+,7.328125
1482,O,B,A+,B,B+,A,A,B,A,A,A+,B,B+,B+,C,C,C,C,A,A+,B,O,O,B,O,B+,B+,B,B+,O,A+,A+,A+,A+,B,C,O,A,B+,A+,B+,B+,C,B+,O,C,O,B,A,O,O,A,C,O,B,A,C,A+,A+,B,7.5
1483,C,C,O,O,B,B,B,C,C,O,O,A,A,B,B+,B,O,B,C,B+,A,B+,O,B+,O,A+,B,O,O,A,O,B,B+,B,B+,B+,O,A+,A,A,O,A+,B,A+,B+,B,A+,A,B,O,B,A+,A+,B+,O,B+,B+,B,O,B+,7.603125
1484,B,O,C,A+,B+,B,O,B,C,A+,O,B+,B+,A+,B+,C,C,B,B,C,A+,B,A,B+,C,B+,B+,C,A,B+,A+,A,B,A+,O,B,B+,A+,A+,B,B+,A+,C,B+,C,B,O,A+,A+,A,C,B+,B+,O,B,A,A,B,B+,O,7.3625
1485,C,B,O,A+,C,A+,C,B+,C,C,B,A+,A+,A+,A+,C,O,B+,B+,B+,C,B+,C,O,O,O,A+,O,A,C,A+,A,A+,C,A+,B+,B,B,B+,A,C,A+,O,B,B,O,O,B,O,B,B+,B+,A+,A+,B+,A+,O,A+,C,A+,7.63125
1486,C,B+,A+,B,O,A+,B+,C,A,B,B,B+,A+,C,A+,B,O,O,A+,A,A+,A+,A+,A,A+,O,A,C,B+,B,A,A,C,A,B+,A+,B+,C,B+,B+,B+,O,B,B,A+,B,C,B+,O,B,O,O,O,A+,B+,A+,C,B+,B,B+,7.5
1487,B,C,C,B+,A+,B,A+,B+,O,A,B,B,C,O,A+,O,B,B+,B+,C,B,C,B+,B,B,B+,O,O,A+,A+,B+,A,A,B,A,A,A,C,B,B+,O,O,C,A+,O,C,A+,A,A,C,A+,B,C,A,C,A,A,O,A,A,7.41875
1488,C,C,C,C,B+,O,C,A,B+,A+,B,B+,C,B,B,B,A+,B,A+,C,B,A+,A+,B+,A+,B,C,A,A,A,O,A,A+,O,O,C,B+,C,C,B+,B,C,A+,O,A,A+,B,B,B,O,B+,C,O,B+,C,C,A,A,O,B,7.16875
1489,A+,B+,O,B+,B+,B+,O,O,A,B,B+,A+,O,O,A+,O,B,B,A,C,B,B+,B+,A+,B+,A+,C,O,A,C,C,B,A,A+,B,A,A,B+,A,O,O,O,A+,C,B+,O,B+,A,B+,B+,C,B+,O,C,C,A+,C,B,A,A+,7.646875
1490,A,C,B+,B,B,O,O,B+,C,A,B,C,A,C,C,C,A,B+,A,C,C,O,C,C,O,B+,O,C,B+,C,B,B+,B+,B+,A,C,B+,B,C,B,C,B+,B,B,O,C,B+,C,A,B,B+,A+,B+,A,O,C,B,B+,O,B,6.8
1491,C,A+,A+,B,A,B+,C,B,O,B+,B+,A+,B,A,B+,A+,O,A,C,B,B,B+,A+,A+,C,C,O,A+,O,A+,O,B,O,A,B,A+,B+,A,A+,C,A+,B+,O,B,B+,B+,A,B+,A,C,B,B,C,B,A,O,C,B+,B,B,7.278125
1492,C,A,O,B+,B,A+,A+,B,C,O,A,C,O,O,O,O,O,A,B,B,C,A+,C,B,A,B+,A,A,C,B,C,A+,C,B,O,A+,B+,A,A+,C,B,B+,A,B+,A,B+,B,A,O,O,B,B,A,O,B,A,C,A+,C,C,7.3375
1493,C,C,A+,C,A,A+,A,C,A+,B+,B+,B,O,A,C,A+,O,B,A+,A+,B,A,B+,O,A,A+,C,O,A+,O,C,C,B+,B,C,B,A,B+,B+,O,B+,B+,O,B,O,B+,A+,O,A+,A+,B,A+,B+,A,B,O,A,B+,B,A+,7.79375
1494,O,B+,A,A,O,A+,B,B+,B,A+,B,C,A+,A+,O,C,C,B,A,C,C,B+,O,O,B+,C,B,A+,A,B,B,A,O,A+,B+,A,B,O,B,O,C,C,O,A+,O,C,A,B,A+,C,C,A,B,B,B+,A+,A,C,O,B,7.334375
1495,B,C,O,A,O,A,A+,B,A+,C,A+,O,O,B+,C,A,B,B,A+,A,A+,B,A,C,O,A+,O,C,C,O,C,B,B,B+,A+,A,B,C,A,B,B+,A+,A,C,A,O,B,O,A+,B,B,B+,A,O,B+,A,C,B+,B,A+,7.615625
1496,A+,C,O,O,A+,B+,O,O,A,O,C,A,B+,B+,B+,B,C,A+,B+,A,B,A,C,B,A,C,B+,C,C,B,A+,A+,B,O,B,O,B+,C,B,B,B+,A+,C,A,A,O,A+,C,C,C,B,A+,B+,B+,B+,A,C,C,B,C,6.9875
1497,C,A,A,O,C,B+,B+,C,B+,A,A+,A+,B+,B+,A+,A+,A+,A,B,B+,B+,A,B,A+,B+,O,B,B,O,C,A+,A,A,A,A+,C,B+,A+,C,A+,A,B,B+,C,A,A,B,A+,O,A+,C,A,A+,B,O,B+,C,B+,B,A+,7.3625
1498,A,O,B,C,O,B+,O,O,A,A,B,B,A+,B,A+,A+,B,O,C,B,B+,A,C,C,B,A+,O,A+,C,A+,O,A,A+,C,O,A,C,A,B+,O,A+,C,B+,B,C,B+,A,A+,B+,B+,A+,A,A,B,O,B,A+,C,O,C,7.459375
1499,A+,A+,O,A+,A+,A,A+,O,O,C,C,C,B,A+,A+,A+,B,B,A,B+,B+,A+,B,A,B+,B,O,B+,B,O,C,B,B+,O,B+,A+,A+,C,A,A+,A+,B,B,B,A+,A,A,O,O,B+,C,B+,B,A+,B,C,C,A+,O,B+,7.534375
1500,B+,B,A+,O,A+,B,A,C,B,B,C,O,O,A,C,C,C,B+,C,B,A,C,A,B,B,C,B,A,B+,O,C,A+,C,A,C,O,O,A,A+,B,B+,B,B,C,O,A,B+,B+,B,A+,O,B+,C,A+,A,B,O,A+,A+,A+,7.425
1501,B+,A,A,O,C,B+,B,B+,A+,A,B,B,B,C,B,O,B+,A+,B,A+,C,C,O,O,A+,B,C,A,A+,A,B+,B,C,A,C,A+,B+,B+,O,A+,B,A,A+,A,A+,O,A+,A+,O,B,O,C,C,B,A,B+,O,A+,B+,O,7.515625
1502,B,A+,A+,A+,B,A+,C,B+,C,O,C,C,B,B+,A+,O,A+,A+,A+,B+,A+,O,B,B+,C,A,O,A+,B+,O,A,B+,B,O,B,C,C,A,O,A,A+,B+,B+,B,O,A,O,B,B+,C,C,B+,C,O,A,O,C,B+,A,O,7.625
1503,A,C,O,A,B+,C,O,A,A,A,O,C,B,A+,O,O,A+,C,A+,C,O,A+,B,C,C,A+,O,A,C,A,O,A+,A,O,C,C,B,A+,A+,O,O,C,B,O,A,B,C,C,A,A+,A,B+,A+,B+,O,B+,C,A+,B,B,7.471875
1504,A,B,C,B,B,C,B+,C,C,B,A,A,B,C,O,O,B+,B+,O,O,C,C,B,C,A+,A+,B,A,B,B+,B+,C,B+,A+,A,A+,A+,C,B,C,C,B,C,O,A+,C,A,B,A,C,A+,B+,B+,C,O,C,O,B+,O,O,7.23125
1505,A+,A+,C,B+,A+,C,C,O,B,A,B,A+,O,A,C,C,B+,A,B+,A,A,A,B,B+,B,A+,B+,B,A,B,C,A+,C,O,B,A+,B,C,A+,O,A,O,O,B,B+,B+,O,B+,A+,O,A,O,B+,B,C,C,B,A+,B+,C,7.425
1506,C,B+,B+,C,C,A+,A,A,A,A+,B,A,C,A,A,A+,C,B,B+,A,C,B+,B+,B,A+,B,A,A,C,B+,B+,B+,A,A,B+,C,B,B,B+,O,C,B,B,O,O,O,B+,A,B+,A+,C,C,B+,O,O,A+,O,B,O,B,7.19375
1507,B,C,B+,B,B+,O,O,A+,A+,B,A,B,A+,A,B,B,A+,A,A,B+,A+,C,A+,C,A,B+,C,O,C,C,A+,O,B,B+,B,C,B,A+,O,A+,A+,A+,C,O,C,B+,A+,B,B+,A,B,B,A,A+,O,O,A+,O,A+,B,7.540625
1508,O,B,B,O,A,B+,O,A,A,B+,A+,A,B+,A,B+,B,B,C,B,B+,A,A,C,A,B,A+,B,B,O,B+,O,C,A+,O,B+,A,C,B,O,A+,B+,B+,A,B+,B,A+,A,A,C,A+,B+,A+,B+,B,O,O,B+,C,A+,A,7.596875
1509,A,B+,B,B+,B+,O,B+,C,C,B+,B,A,C,O,B+,A+,B+,A,B,B,A,O,A,A,A+,A+,B+,A,B,B,B,A,B+,A+,A,A+,B+,C,A+,O,O,A,B,A,C,C,C,B,B+,O,C,B+,B+,B+,B+,B+,A+,B,A,B,7.215625
1510,B+,B,B+,C,C,C,A+,C,B,A+,C,C,B+,A+,A+,B,B+,O,O,B,B+,B,B,B,A+,B+,A,A+,B,C,A,B,C,C,O,C,O,A+,A+,B+,A,O,B+,B+,A+,O,B,B,C,A,A,A+,B+,C,B,A+,B,A+,A+,C,7.175
1511,A,A+,C,A,B,B+,A,A,A+,B+,B,C,A+,C,B,A+,A+,O,O,A,B+,B+,A,A+,A,O,A,A+,A,C,O,A,A,A,O,C,C,A,B,C,A+,C,B,C,A,A,O,B,A,C,A,B,B+,B+,O,C,O,B,A+,A,7.46875
1512,C,B+,C,B,C,O,A+,O,A,A,C,B+,A+,B+,C,C,C,B+,A+,B,A,B+,B,A+,A+,A+,B,B+,A+,A+,B+,C,A+,B,O,A,A+,B,A,C,B+,B+,C,B+,A+,B,B,B+,A,B+,B+,C,O,B,A,B,B+,B,C,C,7.028125
1513,B,O,O,A+,A+,A,C,B,O,B,A+,O,C,A,A+,A,O,B,A+,C,B,C,O,B,B+,B+,B+,C,A,B+,A,A,A+,A+,O,O,A+,O,B,A+,A,C,C,A+,B,A,B+,B,C,A+,C,O,A,A+,O,B,A+,O,O,A,7.7375
1514,O,C,B+,O,A,O,C,A+,B,C,B,A+,B+,A,B,A+,B,A,C,A+,O,B+,A,A,A+,B,O,C,B,C,A+,A,C,A,B+,C,C,B,O,C,B+,A+,O,B,B+,B,C,A+,C,A+,A+,O,A,B+,O,B+,B+,A,O,B,7.284375
1515,B+,A,B+,A,C,B,O,A,C,A,A+,C,B,B+,C,B,C,B,B+,C,B,C,B+,A+,A,B+,B+,B+,A,B+,A+,B,B,O,O,B,B,B+,C,C,B,B,B,A+,A+,C,A+,O,C,O,A+,A+,B,B,C,A,A,B,A,B+,7.084375
1516,C,B,A+,B,B,A,A,O,A,B+,B,C,B+,A+,A,O,B+,A,O,O,B+,B,C,O,A+,O,B+,O,B,C,A+,A+,O,B+,B,A+,O,C,B,A,A+,A,B+,B+,O,O,C,B,C,O,C,A+,A,C,C,B,C,C,B,A+,7.40625
1517,A,C,A+,B,A+,C,B+,B,C,B,A,B+,A,B+,O,C,B+,A,O,A+,A+,C,O,A+,O,B,B+,A,A,B,A,O,B+,B,A,B,A+,B+,B,B,A+,B+,A+,O,A+,O,A+,A+,O,A+,C,O,O,C,A,B+,O,B+,B,B,7.653125
1518,A+,C,A+,C,A,B+,A+,B+,C,O,A+,A+,O,B+,B,C,A,B+,A,O,C,C,C,A+,O,A,A,B+,B+,A+,O,A+,B+,O,B+,C,B,A+,O,B+,B+,A,A,A,B,A+,C,O,A,O,O,B,C,C,O,B,O,A+,A,C,7.653125
1519,A+,A+,A,O,O,A,A+,A,C,O,C,O,C,B+,B,B,B+,A+,B+,C,B+,O,C,A+,B+,A+,A+,C,B,B+,A,C,A+,C,B+,A,C,A+,A+,B,B,A,B+,A+,B+,C,C,A,O,A+,B,C,B,C,B,C,A,A+,B,B+,7.234375
1520,A,C,A,B+,O,B,A,B,B,B+,B,A,C,A+,A,B+,A,C,B+,B,C,B+,B,B+,A,C,C,B,B,A+,O,C,B+,A+,A,A,A+,B+,A,C,A,C,O,O,A+,A+,C,A,O,O,B,C,A,B+,C,C,B,O,O,B+,7.26875
1521,B,B,O,O,A,B+,C,A,C,B,B,O,C,B,O,O,O,O,O,B,O,B,C,C,A,C,B+,A+,O,A+,C,B,C,B,A+,A,A+,A+,A,B+,A+,O,B+,O,B,B+,A,A,O,A,A+,A+,C,B+,C,O,C,A,A,A+,7.784375
1522,C,B+,B+,C,C,B,O,B+,C,A,A,C,B,B,A,A,A+,A,A,O,A+,A+,A+,A+,O,O,B,C,C,C,C,O,A+,A+,C,B,A+,A,A,O,A,A,A+,A,A,O,B,A,B+,B,B+,C,O,A,C,A,O,A+,A,A,7.484375
1523,O,A,C,A,O,B+,B,A,C,A+,B+,B+,B,O,O,A,A+,O,A+,A,C,O,B+,O,C,C,A+,B+,O,B,A,A,O,B+,A+,B,B,A+,O,A+,B,A,B,A,O,A,C,B,A+,O,A+,A+,B+,C,B+,B,A,B,B,A,7.696875
1524,B+,B,O,B,C,B,B,C,O,B+,O,B,B,A,B+,A,B+,A+,B+,B+,A,B+,C,O,O,B,O,B,B+,O,B,A+,C,C,O,A+,B,C,B+,A+,C,B,O,B+,B+,C,C,O,B,A,B+,O,O,O,A+,B+,O,A+,A,O,7.4875
1525,B,C,B+,B,A+,O,C,O,B,A+,A,B+,C,A,C,B+,B,C,C,A+,B+,B+,B+,B+,O,A,B+,C,A+,A,O,O,B+,A+,C,B+,B+,O,A,B+,A,A+,B,A,B+,A,A,C,A,O,B+,B+,A,A,A,B+,A+,A,B,A+,7.428125
1526,O,B+,B,B+,A,O,B+,O,A,A+,O,B,A+,O,A+,C,B+,B+,B+,A+,O,B+,A,O,O,A,B,A+,O,B+,C,O,C,O,B,A,C,A+,B,B+,B,O,C,A+,C,B+,A,B+,B+,C,A+,C,A,O,C,O,A+,A,B,A+,7.83125
1527,A,A,B+,B+,B,B,A+,O,A,O,B,C,C,B+,O,O,A+,O,B,B,B+,O,C,B+,B,O,A,B+,A,C,C,B+,A,B+,A+,C,B+,B+,A+,B,A+,C,A,A+,A,C,O,A+,A+,A,A,B+,O,C,B+,C,B,O,B+,A+,7.503125
1528,B+,A,O,O,A+,B,O,B,A,O,A,A+,B+,A+,O,B+,C,O,C,A+,A,B+,B+,B,O,A+,B,B,B,A,B,C,A,B,A+,B,A,C,B+,O,C,B+,O,B,B+,A+,B,A,O,B+,B,C,O,C,A,A+,B,A,B+,O,7.534375
1529,C,A+,A+,B,B,A,B+,O,O,B,B+,C,A+,B,A+,A,C,A+,C,B+,B,A,B,C,C,B,B+,B+,C,B,B,O,C,A+,C,A+,A+,B,A,A,B,B,A+,A,A+,A+,A+,B+,B,B,B+,A+,O,A,B+,B+,O,B+,A,A,7.315625
1530,B+,A+,C,B,C,O,O,O,C,C,C,B+,O,A+,A,A+,C,B,B,A,O,A+,B+,B+,A+,O,A+,A,B,O,A,B+,B+,B,B+,B+,O,A,C,B,A+,O,A+,A,C,C,A+,B,O,B,A,A,O,B,C,A,O,B,C,O,7.65
1531,A+,A,A+,A+,B,B,B+,A+,A,A,O,O,C,O,B,O,B+,B,A+,C,O,C,O,B+,B,O,B,B+,A+,A+,A+,C,A,C,B+,A+,A,C,B,O,O,C,B,A+,A+,B,C,A+,B,B,B+,A,C,C,B,O,A+,O,B+,B,7.5
1532,B+,A,O,B+,B,C,B,O,B+,A,A+,A,C,A+,A+,A+,A,B,C,A,A,O,A+,O,A,B+,A,C,A+,B+,B,O,B+,A,B+,C,B,A,O,C,C,B+,C,O,A+,B+,C,B+,A+,A,B+,C,C,O,A,C,A,A+,A,C,7.20625
1533,B,O,B+,B+,B,O,O,O,A,O,B,B+,C,A+,O,B+,O,C,O,B,A+,B+,A,B+,C,B,B,B,O,B+,B,B+,C,A+,O,A,O,O,B,C,C,C,A+,C,C,C,B,O,C,B,A,B,A,A+,A+,A+,A,A,O,O,7.60625
1534,O,B,C,A+,C,B+,A+,A,C,A+,C,A+,O,A+,C,A,A,B+,B+,A+,A+,A+,B,B+,C,B,C,O,O,C,O,A+,A+,B+,C,A,A,A,B+,A+,A,C,C,B+,C,A+,B,B,O,B+,C,A+,B+,C,C,B+,A+,A,C,A+,7.390625
1535,B+,O,O,A,A+,A,O,B+,B+,C,C,O,B+,B+,C,B,A,B,B+,C,B,B+,A,B,B,B+,B,O,B+,C,B+,O,C,B,B+,A+,C,B,B+,A,C,A,C,C,C,O,B,B+,B,C,B,A+,O,A+,B+,A,B,C,O,O,7.1875
1536,B,O,C,C,O,O,O,A+,C,O,B+,B,A+,B,C,O,B,B+,B,C,O,C,B+,A+,B+,A+,O,B,C,B+,B,B,B+,A,B+,O,O,B+,B,B+,B+,C,B,A+,O,B+,A+,A+,A,A,B+,B,C,O,C,B+,O,A+,B+,A,7.671875
1537,A,B+,B+,A+,B+,A+,O,B+,B+,O,A+,A+,O,O,A+,B+,B,A+,A,C,A+,A+,A+,B,A,C,A+,B+,B,C,C,A+,B,A+,B,B,C,A+,A,A+,B,A,B,A,B+,A+,A,B+,A+,O,O,C,B,A,O,B+,B+,B,A,C,7.609375
1538,B,O,O,B,C,B+,O,O,A+,A,O,B,B+,A+,O,B,A+,C,A+,O,A+,O,C,A+,B+,O,B+,C,C,A,A,A,A,C,A,O,O,C,O,O,A+,A+,B,B,O,B,O,C,A+,B+,C,C,A+,B+,C,O,O,C,B,B+,7.6125
1539,C,B+,B+,A,C,B,B+,A+,O,C,O,B+,A+,B+,B+,B+,A+,A+,B,A,A+,A,O,A,B,A,B+,O,O,B+,B,A+,O,O,B,A,C,B+,O,C,B,A+,O,A+,C,A,A,B+,B,A+,A,B,A,A+,B+,B,B,A+,O,C,7.603125
1540,A+,O,B,B,C,A+,C,A+,O,C,C,C,C,A,B,A,A+,A,O,A+,A+,B+,C,A,C,A,C,B,A+,A,B,C,B+,C,O,A+,B+,B+,C,A,A,C,A+,B,C,B,B+,A,B,A,B,C,C,A,C,B+,A+,C,A+,A+,7.125
1541,O,A+,C,B+,O,B,C,O,A+,A,B,A+,O,C,A+,O,O,A+,B,B+,C,B,A+,O,C,O,B+,C,C,O,A+,B,B,B,C,A,B,B+,B+,A+,B,C,O,O,C,A+,O,B,A,C,A,C,O,B,B+,A,O,C,B+,C,7.3625
1542,B+,O,O,A,B+,C,O,A,A+,A,A+,A,A,A,A,C,A,B+,C,B+,B+,B+,B+,C,B+,B,B+,O,B,A,A,B,B+,B,B,O,A+,O,B,A,O,A,C,B+,B,A,O,A+,A+,O,A+,A+,B+,C,A,C,B,A,B,O,7.64375
1543,B,C,A,A,B+,C,O,B+,A,A,A,A+,B+,A+,B+,B,B+,B+,A+,B,C,B+,O,A,O,C,O,A,A+,A,A,O,C,B+,B,A+,O,B+,B,O,A+,O,B,B+,C,C,A,C,B,A+,A,B+,B,A+,B,O,B+,O,O,B,7.45625
1544,A,B,A+,B+,O,A+,C,B,B+,A,A+,B,O,A,C,A+,A+,A+,C,A+,A+,C,C,B+,B+,C,A,O,A+,B,A+,C,B+,A,B+,B,B,O,A+,C,B,A+,A+,C,B+,C,A+,B+,O,B,O,O,B+,B+,B,B+,B+,A+,A+,B+,7.55625
1545,B,O,B+,C,B+,B+,A+,O,O,A,C,B+,A+,B,A,A+,A+,B+,C,C,A+,B,O,B,A,A,C,C,C,B+,A,A,B,A,A+,B,A+,A,O,A+,A,A,B+,A,B+,B+,O,O,B,C,A+,O,O,A,B,B,C,B+,B+,B+,7.39375
1546,B+,A,A+,B,O,A,B+,B+,C,A+,C,A,O,B,A,B+,C,B,B,B,C,O,O,A,O,A,B,O,A,O,O,A,C,A,A,O,A,O,A+,A+,O,O,B+,B,B+,C,O,C,B,B+,B,B,A+,B,C,A,C,C,A,A+,7.53125
1547,C,O,O,O,B,A+,C,B,B+,O,A,A+,A,B,B+,O,A,C,A,A,B+,A,A,A,C,C,A+,O,O,B+,C,O,B+,C,O,O,A+,B,A+,A+,A,C,A,B+,B,B+,A+,B+,B,B+,A+,B,A,A,B,A+,B+,A+,B,O,7.71875
1548,A,C,B,C,C,B,B,B,B+,A,A,O,O,A+,A+,C,C,B+,A+,O,O,C,B+,A+,A,B,C,A,C,B,C,O,B+,A,B+,O,B+,B+,B,A,A,A+,C,B+,B,O,C,B+,B+,O,B,A,B+,A,O,C,B+,C,A,C,7.10625
1549,A+,A,A,C,C,C,B+,O,C,O,O,A+,O,O,B,O,C,A+,B,B+,C,B,B+,C,B,B,A,A+,C,A,B,B+,B,A+,B+,B+,B+,B+,B+,C,B,B+,O,B+,A,B+,B+,A,A,A+,O,A+,A,A+,A+,A+,B,B+,C,B+,7.434375
1550,B,C,A,A+,O,A+,A+,A+,O,O,A+,A+,O,O,A,C,B,O,A,B,B+,C,B+,O,O,B,B,A+,C,O,A,C,A+,B+,B,A+,C,B,B,B+,B,A+,C,C,C,A+,O,B+,B+,A,A,O,C,A+,B,B+,B+,A+,B+,C,7.5375
1551,B,O,B,O,A,O,A,B,A+,B,A,C,O,C,B+,A+,C,A+,A,O,B+,A,O,A+,B+,O,A+,A,C,B+,A,A+,O,B+,B+,C,B,B+,A,A,A,A,B,C,B,A+,C,C,B,A+,C,B+,O,B,C,B+,O,C,B+,C,7.221875
1552,O,A,O,C,A+,O,B,A,A,B,O,C,A,A+,C,O,B+,A+,B,B+,O,O,B,O,B+,A+,B,B,C,C,B+,C,A+,C,C,O,B,A,C,B,O,O,B+,C,B,B+,A+,A+,O,A+,A,B,A+,B+,A,B,B+,B,C,O,7.49375
1553,B+,B+,O,O,A+,C,B,A,A+,A,B+,B,C,B,O,A,B+,A,B+,C,C,B+,B,C,A,A+,A,B,A,B,O,C,A,O,A,A,A+,O,B,B,B,O,B+,A,C,A+,B+,O,A+,B,B,B,C,B+,A,O,A+,B,B+,C,7.2125
1554,A+,A,O,O,C,B+,B,B,B,B+,O,O,A+,O,A,C,A,O,A,O,B+,C,C,A+,C,A,B+,C,B,C,C,O,O,B,O,B+,B,C,B,B,A,B,A+,B+,A+,A,O,B+,O,C,O,C,B+,B+,B+,B,O,B,O,O,7.628125
1555,O,B+,A,B,B+,B,B,B,A,A,B+,C,B+,O,O,B,B+,C,B+,O,C,B+,O,A,A,B+,O,B,B+,A+,O,A+,B,B+,B+,C,B+,O,O,C,O,A,C,O,A+,A+,A+,B+,B+,C,O,A+,B,B,B,A,A+,A+,B+,C,7.440625
1556,C,B,B,O,O,A,B,C,A,A+,O,B,A+,C,O,C,C,C,A+,O,O,B+,A,A,B,B,A+,B+,C,A,B+,A+,B+,B,A,B,O,A+,A+,B+,O,B+,B,A,B+,C,A,C,A,A,A,C,A,O,C,A,B,O,O,B,7.4125
1557,O,C,A,A,B+,O,C,A+,A+,A+,A,B+,C,A,A+,B+,B+,C,O,B+,O,B+,B,O,C,O,B,A,A,B+,C,O,B,B+,A,B,O,A,B,B+,B+,C,C,B+,A,B,A,A,B+,C,O,O,B+,A+,B+,A,A,B+,B,A,7.55
1558,O,A+,C,O,A+,B+,A+,C,O,B+,A,B+,B+,B,A+,A+,A+,C,C,A,A,B+,O,B,C,B,C,C,C,C,B,B+,C,A,A,B+,A,A,B+,A,B,O,A+,A,B+,C,O,O,A,O,O,B+,B+,A,A+,A,C,O,B+,O,7.534375
1559,B,B,B,A,A+,A+,B,B,B+,A+,A,A+,B+,A,A,O,B+,A+,C,A+,B+,A+,A,B,C,B,A+,A+,A,A+,B,B,A,B+,B+,A,A,B+,B,O,O,B+,A,A,O,B+,O,A,C,C,O,B,C,B,A+,A+,O,A+,B,A+,7.771875
